Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
ANTM,ANTHEM INC COM,ANTHEM INC,"118,758 M",Health Care,Health Care Providers & Services,Managed Health Care
AON,AON PLC (IE) COM CL A,AON PLC,"57,658 M",Financials,Insurance,Insurance Brokers
AOS,SMITH A O CORP COM,A O SMITH CORP,"9,493 M",Industrials,Building Products,Building Products
APA,APA CORPORATION COM,APA CORP (US),"16,206 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
APD,AIR PRODUCTS & CHEMICALS INC COM,"AIR PRODUCTS AND CHEMICALS, INC.","56,009 M",Materials,Chemicals,Industrial Gases
APH,AMPHENOL CORP COM CL A,AMPHENOL CORPORATION,"42,239 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
APLE,APPLE HOSPITALITY REIT INC COM NPV,APPLE HOSPITALITY REIT INC,"3,907 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
APO,APOLLO GLOBAL MANAGEMENT INC COM,APOLLO GLOBAL MANAGEMENT INC,"33,488 M",Financials,Diversified Financial Services,Other Diversified Financial Services
APTV,APTIV PLC COM,APTIV PLC,"28,938 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ARE,ALEXANDRIA REAL ESTATE EQUITIE COM USD0.01,"ALEXANDRIA REAL ESTATE EQUITIES, INC.","26,748 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
ARES,ARES MANAGEMENT CORPORATION COM CL A,ARES MANAGEMENT CORP,"12,653 M",Financials,Capital Markets,Asset Management & Custody Banks
ARMK,ARAMARK COM,ARAMARK,"8,877 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
ARW,ARROW ELECTRONICS INC COM,"ARROW ELECTRONICS, INC.","8,068 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
ASB,ASSOCIATED BANC-CORP COM,ASSOCIATED BANC-CORP,"3,133 M",Financials,Banks,Regional Banks
ASH,ASHLAND GLOBAL HOLDINGS INC COM,ASHLAND GLOBAL HOLDINGS INC,"5,778 M",Materials,Chemicals,Specialty Chemicals
ATO,ATMOS ENERGY CORP COM,ATMOS ENERGY CORPORATION,"16,109 M",Utilities,Gas Utilities,Gas Utilities
ATR,APTARGROUP INC COM,APTARGROUP INCORPORATED,"7,149 M",Materials,Containers & Packaging,Metal & Glass Containers
ATUS,ALTICE USA INC COM CL A,ALTICE USA INC,"4,983 M",Communication Services,Media,Cable & Satellite
ATVI,ACTIVISION BLIZZARD INC COM,ACTIVISION BLIZZARD INCORPORATION,"60,868 M",Communication Services,Entertainment,Interactive Home Entertainment
AVB,AVALONBAY COMMUNITIES INC COM USD0.01,AVALONBAY COMMUNITIES INC.,"28,687 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
AVGO,BROADCOM INC COM,BROADCOM INC,"238,839 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
AVLR,AVALARA INC COM,AVALARA INC,"7,869 M",Information Technology,Software,Application Software
AVT,AVNET INC COM,"AVNET, INC.","4,679 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
